# X0,X1
-1.024549186443256410e+01,-3.275561906099286347e+01
-2.727579337046524088e+01,-2.356242517853485197e+01
1.733209019560314346e+01,-1.262140042392535655e+01
4.239828644558804172e+01,-2.193364224116309558e+01
-4.243532379499420415e+00,-2.121931472132260765e+01
-2.074300280195841140e+01,2.129819240546355275e+01
-8.387315111646005406e+00,4.952899799978887074e+01
1.514976726013973085e+01,-4.901759178143475992e+01
-1.556916358297709690e+00,1.384761978183494691e+01
1.593219453150027753e+01,3.232171330854007429e+00
-3.541099625050311772e+01,7.036444644866871378e+00
1.785137978233739986e+01,1.031900502295500566e+01
-3.556526117482939497e+01,1.933504335510922445e+01
-4.535036788882454317e+01,-1.392925870774675090e+01
4.532431809468597095e+01,-8.125253542619143232e+00
-1.949623744425768379e+01,-3.499848154823366997e+01
5.263855710433905699e+01,1.353523245652715445e+01
-3.486154534783172831e+00,-4.949922356745343421e+00
3.603172107837376359e+01,-1.743469212885410968e+01
-1.544959757224685326e+01,1.602541031099825730e+01
8.390340698407042552e+00,2.403908775410461551e+00
-8.649304745905777025e+00,-3.700279520646930109e+01
-3.976560322988633267e+00,2.073182334213721134e+01
-1.317273405773994099e+01,2.617635070670280228e+01
-3.296293823667995326e+01,3.370184373694367252e+01
-1.636247060421543864e+01,2.163512261726605246e+01
-2.776597170709666784e+01,-1.717463552750459854e+01
-3.171838050363543005e+01,9.181737568973044716e+00
-3.757237914755484098e+01,2.177436599775326442e+01
-2.732620417584730532e+01,-3.049904071972880004e+01
-1.838785811109354285e+01,-1.431267643866703132e+01
3.925435921948238427e+00,2.536270086838047000e+00
8.915453031991198429e+00,5.081014109005227652e+00
-1.087437546259789123e+01,-2.764984482737089966e+00
3.032551368024035554e+01,-6.397738119665790535e+00
-3.911279877741164057e+01,9.398362546704808196e+00
-4.565159586495075139e+00,-1.718425900063484235e+01
-1.890916302397974746e+01,7.349056077786870311e+00
-1.132937400818890339e+01,3.154489816843145533e+01
4.898453409570880268e+01,-3.096889232714532980e+00
5.835443742304532222e+00,4.554409820096245909e+01
-3.260722156360667157e+01,-1.799558966983271802e+01
2.491548300591762555e+01,1.224830141998114286e+01
-1.916241728020334989e+00,-2.252693070751259441e+01
5.020770762199087756e+01,1.104339535568509556e-01
1.375844095592511351e+01,1.004478310578834765e+01
-3.610623597340255619e-01,-1.974333642529122557e+01
-3.107543899182856251e+01,1.564268178423020039e+01
-1.084911812515204410e+01,2.038337142691282722e+01
-1.171488788426032635e+01,2.947830242912186649e-01
-1.199675444616431186e+01,3.357118674930332958e+01
1.065179618925714600e+01,-2.665568338579221574e+01
4.183290929047740292e+01,-2.255288709175714246e+01
-1.304579235563997663e+01,-1.675667797927414071e+01
9.792110553107820081e+00,-2.324758787701580509e+00
-3.264292497203253163e+01,3.472507812388630555e+01
3.419758011585803104e+01,2.119127672298251497e+01
2.813614789457102638e+00,2.858771395433171492e+01
3.707593462322790856e+01,-1.576379628664203381e+01
-2.868277589903880909e+01,-1.583202692466672623e+01
-3.772189054751529547e+00,-7.819976375243260058e+00
-2.526830336955216083e+01,-4.502474941891404292e+00
-7.809650028351597939e+00,2.069398641828183472e+01
-2.563205093104111754e+01,-6.412580309499881004e+00
-3.937725263860959757e+01,1.940040282135785787e+01
3.770666161309393516e+01,-2.340936512008545378e+01
4.249237102105799124e+01,-2.247563122159478866e+01
-1.167517774323737711e+01,1.701818307582824374e+01
4.385884718759720968e+00,4.012959997502948539e+01
1.881284104244000233e+01,3.344013142159667495e+00
-2.121461391558975151e+01,1.516300015374718591e+01
2.241011279358079733e+01,-6.262277392996203673e+00
2.211648553303776765e+01,-1.159915620072048448e+01
-1.869656136711510186e+01,8.879872300733550716e+00
-1.731901315772717354e+01,1.555112306907623676e+01
-3.168794706719687682e+01,1.069896922992545818e+01
6.183234620453649200e+01,2.870325629674594481e+00
-1.898102025271062487e+01,-3.425336765546430406e+00
-7.941921020001397880e-01,-2.625764462633764751e+01
4.041676009958300142e+01,-1.166785380433738872e+01
1.927901649594479849e+01,-1.451742652302228320e+00
-2.609177878143087170e+01,-3.200755679946679777e+01
-1.308118487651440631e+01,2.100903603526434438e+01
3.595568837928777128e+01,3.705954689426988580e+01
-3.229182982599163410e+01,-7.521035480684327146e-01
-5.869516688646217339e+00,-1.510385213150430062e+01
1.359412408519348681e+01,-4.797985083989152599e+01
4.415644967739037696e+00,3.749217041165901065e+01
1.053283366603415061e+01,-2.330328146042084470e+01
2.297338662669788079e+01,-9.905808811707258466e-01
2.440036661904943571e+01,5.661217262271411421e+00
-1.909293361933116984e+01,-1.308678924783162500e+01
3.023479594824964423e+01,-3.564170362276050952e+01
4.234257716645879910e+00,1.637012366463113011e+01
-1.007789981313875138e+01,3.186192743447116271e+01
-1.202288012111481486e+01,2.609458911148622384e+00
-3.844547647886790998e+01,-3.046296868871467467e+01
3.544638955749582721e+01,-1.288676281797473777e+01
1.966382156099266609e+01,5.202181071124645229e+00
-1.394637351243551393e+01,6.012716062502042824e+00
-7.860122398210959815e+00,-9.012864923079542123e+00
-3.075994185743730469e+01,3.420397978328077215e+01
-3.785297624841809649e-01,-7.327299202147365520e+00
-1.553380208638744620e+01,2.082360425090975298e+01
-3.921493738075739799e+01,1.133913470125632017e+01
2.232943150406866195e+01,3.520960301098497336e+00
-8.574062331675786908e+00,-1.593826808877814916e+00
-1.427673774313431210e+01,3.163691796876714690e+01
-9.117991148561605641e+00,3.095746467943838809e+01
1.112665161658680191e+01,-1.193436452682337645e+01
-1.355191511452975917e+01,-8.091392760073176760e+00
-3.050043912861485396e+01,-1.903923756315336746e+01
-1.024422099685940779e+00,-7.291557798546652869e+00
-6.691367669953050878e+00,3.398749652046824110e+01
-6.277141714544607787e+00,-4.213942894281500706e+00
-2.177247370348269229e+01,4.551026845077076055e-02
3.260229026528003970e+01,-1.765502698711055274e+01
4.299110886956069244e+00,4.389596296953774157e+01
-3.397608112868211805e+01,2.261425088400610761e+01
6.553127439517764685e+01,5.191602334047316525e+00
2.075743554646603073e+01,-6.005774209817345444e+00
-1.393687539367959793e+01,-1.790276432821440267e+01
-3.440459416666232784e+01,1.403297811173832121e+00
-2.689144151160178353e+01,2.965607017425639022e-02
-2.252589637910264742e+01,-6.127048383820390853e+00
-1.321509945615940396e+01,3.276199039062144180e+01
1.425459812150399586e+01,1.619586154984350301e+01
-2.074511025379425178e+01,-2.322682505338948289e+01
-5.520345821635640249e+00,-2.029364116746609881e+01
4.813583772989461096e+01,-2.253535753065073166e+01
-3.245548415034869016e-01,-8.222386531009949096e+00
-8.775898216344007352e+00,-9.027313673139664374e+00
-1.676730550561534727e+01,3.404334219647047188e+00
-8.547679422797664017e+00,3.408900131594042904e+01
4.258009690554916205e+01,-2.178959418268704695e+01
-4.470892778639907306e+00,2.635523413202470167e+01
-2.031788786342802666e+01,-5.421404408072645786e+00
3.373348895269204206e+01,-2.971220535017487396e+00
2.338959604857011954e+01,1.884210953812994971e+00
1.203437620018501697e+01,-1.394448560790222658e+01
-1.736872099341190534e+01,1.562543565732819939e+00
-1.641470676263130457e+01,-9.977859603858396653e+00
3.086789770658270982e+00,3.906635209011853505e+01
-1.655213280104861795e+01,3.950621189660751753e+01
-1.632151595080016193e+01,-7.262449192470702641e+00
-6.043051577130987617e+00,8.170626210050004889e-01
-2.123589483057332572e+01,-2.730455047949891778e+01
7.221812442972005641e+00,-7.616641741668922272e+00
-9.259399904602098275e+00,1.807613034808736074e+01
3.571716775790510923e+01,-8.907235959291213589e+00
3.860689704532935806e+00,-2.415789802248523799e+01
-8.708561126762633720e+00,-1.695434868905650561e+01
-1.885832567697389450e+01,1.486969013500258008e+00
1.005894106101048102e+01,1.534250977345707412e+01
1.112476947825027018e+01,-7.992995154089844512e+00
1.751164120713503181e+01,8.296729050833173247e+00
-1.984443010811565955e+01,-1.155370240406285731e+01
1.451663793955971471e+01,1.186698596186420041e+01
3.690409743500889306e+01,3.748734938737478473e+01
1.461357564523353858e+01,-1.658662436973480325e+01
-3.318445205349458149e+01,-9.020708803604838621e+00
9.568551177472878422e+00,4.376946423161940203e+01
7.401177677482957407e+00,-2.167115274849821915e+01
-4.010836241094209242e+01,1.141913472107957794e+01
-5.753481370514463400e+00,-1.021813253756298145e+01
1.317981504418112415e+01,1.536998499053061984e+01
-2.264907532505258203e+01,-2.257303365849790922e+01
-3.750673983475527251e+01,2.264703558077535916e+01
9.231031410001524495e-01,2.755576912917734234e+01
1.997654594729883115e+01,3.519328736338913899e+01
-2.226563874424241618e+01,-2.992327389707180529e+01
-2.411662516098589748e+01,8.925396121945702532e+00
1.671865950812121682e+01,-5.039193138232160862e+01
8.167315310730296929e+00,3.385375997039865581e+01
7.383510430493267052e+00,-9.176190085643002092e+00
-3.630184314522372091e+01,-6.796156447899409869e+00
-2.782965906447637394e+01,-2.816686655070490275e+01
-1.976938900183351500e+00,-1.841382207092831536e+01
2.511629449006429127e+01,2.198292186920141944e+01
-2.401912181168691929e-01,3.091535190767777763e+01
-3.385188016589243176e+01,1.685467123254769106e-01
2.780138014716832728e+01,1.212629332314427799e+01
8.155546010304428606e+00,3.708020888944578264e+00
-4.550554290963640369e+01,-1.562962619337218939e+01
-1.272798702167878826e+00,1.293201985242870222e+01
2.453209039449755124e+01,-3.965237995592851661e+01
-2.472452817076835174e+01,-2.659767517629079947e+01
2.427290110194219608e+01,8.551403304422411367e+00
5.423733845623771366e+00,-1.384934507028104989e+01
3.425279392124449984e+00,-4.534319294904965325e+00
-1.393932427040807376e+01,-3.460980783934540028e+01
1.644724207517283432e+01,-1.519404876133823024e+01
-3.968310320174018102e+01,-2.124510523630448589e+01
-6.250660973057163616e+00,1.706020954241036947e+01
2.634278736138048416e+01,9.879858338220932623e+00
3.613167241155015863e-01,2.174939146819534486e+01
-2.321746796831639159e+01,-1.453309454962893632e+01
-9.049557931405018962e+00,-3.562660589952592716e+00
-5.284408733589093465e+00,3.565977922363067165e+01
1.385188314690524969e+01,-4.875270273236073137e+01
-2.267031321458205539e+01,1.803298087469106648e+01
1.532024729454057699e+01,-2.016298274936747070e+00
-4.573594132606870311e+00,-3.991464230713282291e+01
-3.967380530534615701e+01,-1.895602242136706650e+01
4.709178538483260290e+00,3.449064679647743503e+01
3.412910303940156354e+01,3.726206017953417415e+01
