# X0,X1,X2
-1.583394368041930900e+00,-2.455800598007385105e+01,-5.658424076187267282e+00
-2.821393130138628802e+00,-2.246605456395444733e+01,3.229505694226861578e+01
2.566696715219638847e+01,8.588336118677888820e+00,6.402303682660667405e+00
3.658483974839503361e+01,-7.874689487281422373e+00,-3.947604609531050102e+01
1.236430333944514715e+01,-1.622333250264589566e+01,2.024799309097928912e+01
-2.852588021182598155e+01,2.051640977788935949e+00,1.937979896491003018e+01
3.377318061257837956e-01,4.203175020242863269e+01,2.540371640028045519e+01
-3.986701537270938012e-01,-4.896817137952084842e+00,-5.875375389045248653e+01
-1.235837530700881892e+01,-2.020082162936747583e+00,-1.736014674325994278e+01
1.074378752934305581e+01,4.428869179204452111e-01,-1.314528957206751869e+01
-3.390969392242121216e+01,-1.638974540665388346e+01,-4.194312821672566471e+00
4.225453824254472579e+00,9.054643977024326773e+00,-1.883332309834267093e+01
-3.786576897232353645e+01,-1.031334219474926428e+01,3.069997371115659401e+00
-2.564482834997420468e+01,-3.849478737612611212e+01,2.152860011735218393e+01
3.788794177645274885e+01,3.155276484199578491e+01,-1.429679427964686944e+01
8.011734736802376133e+00,-3.605765315392896753e+01,1.027556385896189362e+01
5.681429748370739929e+01,2.357473143518475567e+01,-1.846498186307347211e+01
-4.215506279424793057e+00,5.520823326641161266e+00,1.961989686273026834e+01
3.181442128142673198e+01,-8.174814271517680808e+00,-2.865550868356770664e+01
-4.486378412072564714e+00,-1.054045042287484435e+01,3.545165867255643377e+01
3.561589344282686032e+00,5.615295750852631329e+00,-3.061506965759462240e+00
-1.254630111309752927e+01,-1.894411210473746365e+01,-1.722012032664931525e+01
-1.497122158325385399e+01,1.701218899110261873e+01,4.176700130207794182e+00
-2.893766656978297647e+01,2.003614705919670769e+01,1.314191010483228972e+01
-3.010212945487535663e+01,1.022304305942098424e+01,4.079456238887825492e+01
-2.800085230396705427e+01,1.463427544041870831e+01,1.580002494527737511e+01
-1.177716762389746741e+01,-6.325826613150532296e+00,3.213828891632918783e+01
-3.137077074485549133e+01,-1.090394596890994983e+01,-3.896403329284820471e-01
-4.544335339143272989e+01,-7.439842854624752810e+00,6.475502380463134422e+00
-1.069617708615835028e+01,-3.018836646297427961e+01,2.655116173056209661e+01
-1.459824032225708912e+01,-3.036851638188732494e+00,-1.121070993299919927e+01
-5.419658277305617888e-01,-2.937715799966699404e+00,-2.497658558714040744e+00
5.214291739373466683e+00,-7.435769991332068507e-01,-7.604042380978347282e+00
-5.922257804851816410e+00,-7.912956985291438983e+00,1.494968827063941674e+01
3.179690020701215047e+01,-3.904735266807006333e+00,-1.695347095455402453e+01
-3.586568131609508470e+01,-1.856425151940329599e+01,-8.761078096655301906e+00
9.033702557728275906e+00,-1.022130610786419780e+01,3.883235998467324368e+00
-1.794835795293440839e+01,-2.846102836383955115e+00,1.968146481936974723e+01
-1.834681916045358463e+01,2.772490736148888146e+01,1.277072934572460028e+01
3.074153186803902926e+01,2.627303148017309908e+01,-4.661881507953778936e+01
-1.017408546983407192e+01,4.975748794338866077e+01,-5.015832595063768551e+00
-6.072782057934266398e+00,-1.334769053726877353e+01,3.769794189198060508e+01
1.081118837123836407e+01,1.229236288229007634e+01,-2.666619933245059926e+01
8.903434670675704155e+00,-5.665199028868166842e+00,2.724362643417396512e+01
2.745784729281477965e+01,2.413758298383524448e+01,-5.089038989499501042e+01
-6.247970411291493553e-01,-6.770506286100880233e-01,-1.615915724121752106e+01
-2.683234491131259336e+00,-1.956238256482285820e+01,1.117331615913570886e+01
-3.886161933010802016e+01,-3.728128630111900321e+00,-6.359991668252318320e+00
-2.801325115183498937e+01,1.430413439830608091e+01,-2.349528505377715071e+00
-9.148751544435748784e+00,-1.245627946656769458e+00,1.278751301575912080e+01
-1.617051855360382717e+01,3.032528138422103581e+01,1.192765163602305201e+01
2.141252011878285444e+01,1.125796061285068106e+01,3.004497474802311885e+01
3.560106792520371499e+01,-9.032340840021785056e+00,-3.954921288548840153e+01
-1.857910824837450292e+01,-2.364877710040235215e+01,4.663961221041787120e+00
1.016573904390858019e+01,6.906703058226326242e+00,1.766059914533951947e+00
-2.933057058587566601e+01,1.010980643821174674e+01,4.280029555104725603e+01
3.276615600017660057e+01,9.016151127522924469e+00,2.685546238578771039e+01
-2.349803910431506893e+01,1.523727607138890150e+01,-4.284193602634558395e+00
3.224734099674854804e+01,-6.057174365620983103e+00,-2.729945726573224718e+01
-5.227300464085816722e-01,-2.238564478623151288e+01,1.434923693356714125e+01
1.369587051907217079e+00,-3.067765627561314101e-02,1.436174346358767906e+01
-1.527340232682085031e+01,-1.217693421090306671e+01,2.056506036831327577e+01
-2.221964238496712341e+01,1.503780181571963759e+01,-1.108411361874071588e+01
-1.915007184962879450e+01,-6.900007080671835880e+00,2.193350884319240990e+01
-4.502996920682766557e+01,-1.411721978360374230e+01,2.580798901655020572e+00
4.815141803267877663e+01,2.559155129357880476e+00,-3.461463911510039537e+01
3.643626321297988824e+01,-8.186675601074277608e+00,-4.006535447826383489e+01
-1.279929388412666214e+01,-1.667982225329267365e+01,-1.833448200996090804e+01
-8.941222370459426472e+00,4.472705108360047177e+01,-5.970695508609355606e+00
1.224646605695661883e+01,4.979754488941037671e+00,-1.385867937251867410e+01
-1.919033803015649298e+01,6.855940034403856131e+00,1.867060265942522079e+01
2.420441453327318015e+01,1.149651915847293360e+01,-5.081413026593573079e+00
2.143019126533274843e+01,-1.130927333380379457e-01,5.570534995747576268e+00
-1.956784658996867776e+01,1.665561377092912299e+00,1.321334666834876437e+01
-1.746125571134573562e+01,1.006302865194225582e+01,2.288439789450136175e+01
-3.411140361268338239e+01,-1.022646555025916548e+01,3.279927020744595634e+00
6.199084119354299816e+01,5.560026570436114923e+00,-2.564710996705091617e+01
-1.328877771488177650e+01,-1.289029277519654748e+01,1.599135054204729567e+00
1.690323516811326243e+01,-1.506542871099677505e+01,1.822030213214008043e+01
3.600564910316315093e+01,4.139088001454259036e+00,-2.597306133873032863e+01
-3.418311598286539965e+00,-1.926082397262793622e+00,-9.555841081207733012e+00
-8.781130512275273858e+00,-3.121582835412682400e+01,2.839199168656445238e+01
-1.813549567774857607e+01,1.439336364946963620e+01,1.953793231808813147e+01
8.283394110284978407e-01,3.631676774049150680e+01,-4.633195538881587794e+01
-3.229606757333375811e+01,-2.065803358260891542e+01,9.825875072526965681e+00
7.804534274488727164e+00,-1.130403654956083237e+01,-1.665605943905204001e+00
-3.581236757593003972e+00,-5.128431000996202194e+00,-5.968289319175580232e+01
-1.510378602776374457e+01,4.101424954029751291e+01,-2.052027439638929529e+00
2.015382848252221848e+01,1.652350511196170046e+01,2.639890141471907370e+01
1.990184064417348964e+01,9.063623709598546796e+00,-1.258357697467891079e+01
1.529317286737674308e+01,1.456434397576662221e+01,-1.894630382278278091e+01
-1.253293045146647700e+01,-1.378350626613480401e+01,-1.268439156442117444e+01
1.560915299996652372e+01,-1.371213627889168052e+01,-4.757184229312735368e+01
-6.725997731702133109e+00,1.569296692496091872e+01,-3.763188859482789361e+00
-2.202488632709458827e+01,2.904696460085395771e+01,1.093121897614875238e+01
-1.251165813308997521e+01,1.087634296330209693e+00,1.086415712418445878e+01
-8.744923961683999991e+00,-4.287254349777541762e+01,6.687465948152240713e+00
2.895784792134542229e+01,-9.513876380475615457e-01,-3.161932553844704685e+01
8.552733146129659403e+00,2.363400376451568474e-01,-1.841350586989699778e+01
-1.655113707592488126e+01,3.510109070322847136e-01,5.840049142098328261e+00
-1.600167427645821094e-01,-5.479413428184441770e+00,1.168520973435281896e+01
-2.475284112293872241e+01,9.986075906203490504e+00,4.363598207410240803e+01
1.080880534451181596e+01,4.070995479317624621e+00,1.128715383876279610e+01
-9.918124117799802519e+00,2.009589509173730093e+01,2.529410167213193716e+01
-4.087821777432243664e+01,-1.620643469942794113e+01,-1.092624731907186764e+01
1.511073045213975163e+01,1.568661317236507813e+00,-1.947967513089999159e+01
-1.336635162496619245e+01,5.656105046485857102e+00,1.812020728657970636e+01
-2.273392365204235332e+01,2.856171794610058612e+01,1.614830300273765573e+01
-1.823032167743364695e+01,2.579919097069144129e+01,9.755468166536880759e+00
1.903822913092651348e+01,1.523986985551089646e+01,1.346691151765677397e+01
-5.285479424924496072e+00,-1.603055266172952287e+01,5.970015343352658377e+00
-6.542217998067270557e+00,-1.720641879388290363e+01,3.503911537950082788e+01
2.515016315564569283e+00,5.893152190849781924e-01,2.182064949327780923e+01
-2.445109366461273837e+01,3.119318588770509137e+01,6.670446653433914186e+00
2.122974400089983948e+00,4.348286092572106187e-01,2.481620785110849070e+01
-1.862717013387488052e+01,-1.214141689378256572e+01,1.081940518425547282e+01
2.686090279181325968e+01,-1.133612626342536878e+01,-2.755645141302193935e+01
-1.230240562568331875e+01,4.917913973212650802e+01,-1.459637947476601028e+00
-4.274178440713473037e+01,-8.526906667284546160e+00,1.166376582017355013e+01
6.339641863367081953e+01,2.018819260386574665e+00,-2.031493692000374907e+01
2.141721953964143310e+01,1.221908686339538441e+01,-3.768001140517774683e+00
-3.413567312219035532e+00,-1.730691653998912827e+01,6.460778196457336975e+00
-3.409365607611832871e+01,-1.665002726258238397e+01,7.612254864114428976e+00
-2.616379263734451044e+01,-1.044023096543856965e+01,1.025546179483192510e+01
-1.060201768237435260e+01,-1.566475811704262711e+01,1.316936192285651686e+01
-1.958209472794882799e+01,2.987213108277445883e+01,1.577718040757679319e+01
-1.147390310602533958e+01,-6.121275448057275081e-01,-1.954766084717700991e+01
-1.124755870048722795e+00,-2.762105314322346317e+01,2.221118449634469627e+01
1.053516212746731107e+01,-1.628902448131008995e+01,1.256834237001283583e+01
4.309211342972850645e+01,-3.646661844898926752e+00,-4.466777892570568298e+01
5.622732628383938724e+00,5.237127425481332921e+00,2.631017738676540318e+01
-4.337871073689258949e-01,-8.479726482148128852e+00,1.236950706313022508e+01
-1.564056669787323983e+01,-3.947603355294446725e+00,1.740492238349253995e+01
-2.681042016496262193e+01,3.035851738102112662e+01,1.036043853872298115e+01
3.757083273991408134e+01,-8.262467810606038299e+00,-3.919759728470051385e+01
-1.867022355801781686e+01,2.173987872668729437e+01,3.767599015550006314e+00
-1.764420757505781623e+01,-2.336504526575768281e+01,-1.425978287339735218e+01
2.865428353014894114e+01,9.157090350572261173e+00,-2.132487710867060571e+01
1.443130552690841384e+01,1.096088717087060793e+01,-1.566395948231885171e+01
1.815027972307446191e+01,-4.830960967981867249e+00,7.927276843219079439e+00
-1.224141935763710087e+01,-7.230717728832722457e+00,1.074970302863500216e+01
-1.103979573519710122e+01,-1.155893154629093544e+01,-4.588598026860533530e+00
-9.673760103603790128e+00,4.325260084441416097e+01,-1.881388255638450024e+00
-3.730017247038361461e+01,1.700751467881899259e+01,7.681845023204875389e+00
-9.604621277977383187e+00,-1.515420033398558353e+01,-2.439234367894301148e+00
-2.300437293437868735e+00,8.542096172509497265e+00,1.395039833752270830e+01
4.190783018088309220e+00,-2.699754449385888933e+01,2.650365481389880529e+01
8.477250311971880947e+00,1.885475086866219385e+01,1.353996301736211016e+01
-2.527915198591923129e+01,1.096922887706692862e+01,-2.137958245517656231e+00
2.836973190625229435e+01,7.083179785027268194e-01,-2.642467326248671711e+01
-5.704120990606186270e-01,-1.048360172257786793e+01,3.545307934675848571e+01
5.944716133535469460e+00,-1.441082272139652609e+01,1.282375326946574390e+01
-1.841474796669202618e+01,-6.855841617269208044e+00,8.918126885166296702e+00
-7.886519968025302862e-01,-6.956181851195296417e+00,-3.272329534350771496e+01
1.672275637351496869e+01,-3.106649308947832644e+00,-2.988580148209733611e+00
2.918692268576147608e+00,1.333714151019258765e+01,-1.513833465117836674e+01
-1.670699903542248066e+01,-1.094614656845906531e+01,-9.730908054628333304e+00
2.405651965102689083e+00,9.963534219705332262e+00,-1.529300716776414149e+01
-3.479775111400792986e-01,3.745922967310647067e+01,-4.803856185818762725e+01
2.427343020936173801e+01,8.796559052148058555e-01,1.316164891328850217e+01
-2.221450160027317722e+01,-1.663103611029296403e+01,3.152634220231297135e+01
-1.726914406442083916e+01,4.965449344014655964e+01,-7.329452580925547522e+00
1.893517262995482398e+01,8.610982940190050172e+00,2.739640837136045448e+01
-4.204969765544819182e+01,-1.275553008180324355e+01,-9.449967490989093832e+00
-1.553732870516308651e-01,-2.803622478045145527e+00,2.246982403423321273e+01
-2.953136175370009830e+00,9.944627670217821347e+00,-1.724583812216313561e+01
-1.263996915688063716e+00,-2.312748330135665142e+01,2.606085630117913965e+01
-4.673615383805650225e+01,-6.363710119860567005e+00,6.966526846627719927e+00
-1.481191797046927583e+01,2.558541023182905860e+01,1.459582704985783186e-02
-9.977292798815012631e+00,3.693854196873105167e+01,-2.322650460887469492e+01
